Scrip Code,Scrip Id,Scrip Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500048,BEML,BEML LTD.,Active,T ,10.00,INE258A01016,Commercial Vehicles,Equity
500049,BEL,BHARAT ELECTRONICS LTD.,Active,A ,10.00,INE263A01016,Defence,Equity
500051,BHAGGAS,Bhagawati Gas Limited,Active,Z ,10.00,INE099C01010,Industrial Gases,Equity
500052,BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,Active,B ,1.00,INE922A01025,Specialty Chemicals,Equity
500055,BHUSSTEEL,BHUSHAN STEEL LTD.,Active,A ,2.00,INE824B01021,Iron &amp; Steel/Interm.Products,Equity
500057,ABCIL,ADITYA BIRLA CHEMICALS (INDIA) LTD.,Active,B ,10.00,INE605B01016,Commodity Chemicals,Equity
500058,BIHSPONG,BIHAR SPONGE IRON LTD.,Active,T ,10.00,INE819C01011,Iron &amp; Steel/Interm.Products,Equity
500059,BINANIZINC,BINANI INDUSTRIES LTD.,Active,B ,10.00,INE071A01013,Holding Companies,Equity
500060,BIRLAERI,BIRLA ERICSSON OPTICAL LTD.,Active,T ,10.00,INE800A01015,Other Elect.Equip./ Prod.,Equity
500067,BLUESTAR,BLUE STAR LTD.,Active,B ,2.00,INE472A01039,Consumer Electronics,Equity
500068,DISAQ,DISA INDIA LTD.,Active,B ,10.00,INE131C01011,Industrial Machinery,Equity
500069,BNKCAP,BNK CAPITAL MARKETS LTD.,Active,B ,10.00,INE418C01012,Other Financial Services,Equity
500074,BPL,BPL LTD.,Active,B ,10.00,INE110A01019,Consumer Electronics,Equity
500078,CAMPHOR,CAMPHOR &amp; ALLIED PRODUCTS LTD.-$,Active,B ,10.00,INE959C01015,Commodity Chemicals,Equity
500083,CENTEXTR,CENTURY EXTRUSIONS LTD.,Active,T ,1.00,INE281A01026,Aluminium,Equity
500084,CESC,CESC LTD.,Active,A ,10.00,INE486A01013,Electric Utilities,Equity
500085,CHAMBAL,CHAMBAL FERTILISERS &amp; CHEMICALS LTD.,Active,B ,10.00,INE085A01013,Fertilizers,Equity
500086,EXIDEIND,EXIDE INDUSTRIES LTD.,Active,A ,1.00,INE302A01020,Auto Parts &amp; Equipment,Equity
500087,CIPLA,CIPLA LTD.,Active,A ,2.00,INE059A01026,Pharmaceuticals,Equity
500089,DIC,DIC INDIA LTD.,Active,B ,10.00,INE303A01010,Specialty Chemicals,Equity
500092,CRISIL,CRISIL LTD.,Active,A ,1.00,INE007A01025,Other Financial Services,Equity
500093,CROMPTON,CROMPTON GREAVES LTD.,Active,A ,2.00,INE067A01029,Heavy Electrical Equipment,Equity
500095,WYETH,WYETH LTD.,Active,B ,10.00,INE378A01012,Pharmaceuticals,Equity
500096,DABUR,DABUR INDIA LTD.,Active,A ,1.00,INE016A01026,Personal Products,Equity
500097,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,B ,2.00,INE495A01022,Sugar,Equity
500101,ARVIND,ARVIND LTD.,Active,B ,10.00,INE034A01011,Textiles,Equity
500102,BILT,BALLARPUR INDUSTRIES LTD.,Active,B ,2.00,INE294A01037,Paper &amp; Paper Products,Equity
500103,BHEL,BHARAT HEAVY ELECTRICALS LTD.,Active,A ,2.00,INE257A01026,Heavy Electrical Equipment,Equity
500104,HPCL,HINDUSTAN PETROLEUM CORPORATION LTD.,Active,A ,10.00,INE094A01015,Refineries/ Petro-Products,Equity
500106,IFCI,IFCI LTD.,Active,A ,10.00,INE039A01010,Financial Institutions,Equity
500108,MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,Active,B ,10.00,INE153A01019,Telecom Services,Equity
500109,MRPL,MANGALORE REFINERY &amp; PETROCHEMICALS LTD.,Active,A ,10.00,INE103A01014,Refineries/ Petro-Products,Equity
500110,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,Active,B ,10.00,INE178A01016,Refineries/ Petro-Products,Equity
500111,RELCAPITAL,RELIANCE CAPITAL LTD.,Active,A ,10.00,INE013A01015,Finance (including NBFCs),Equity
500112,SBI,STATE BANK OF INDIA,Active,A ,10.00,INE062A01012,Banks,Equity
500113,SAIL,STEEL AUTHORITY OF INDIA LTD.,Active,A ,10.00,INE114A01011,Iron &amp; Steel/Interm.Products,Equity
500114,TITAN,Titan Company Limited,Active,A ,1.00,INE280A01028,Other Apparels &amp; Accessories,Equity
500116,IDBI,IDBI BANK LTD.,Active,A ,10.00,INE008A01015,Banks,Equity
500117,DCW,DCW LTD.,Active,B ,2.00,INE500A01029,Petrochemicals,Equity
500119,DHAMPUR,DHAMPUR SUGAR MILLS LTD.,Active,B ,10.00,INE041A01016,Sugar,Equity
500120,DIAMINESQ,DIAMINES &amp; CHEMICALS LTD.-$,Active,B ,10.00,INE591D01014,Commodity Chemicals,Equity
500123,ELANTAS,ELANTAS BECK INDIA LTD.-$,Active,B ,10.00,INE280B01018,Commodity Chemicals,Equity
500124,DRREDDY,DR.REDDY'S LABORATORIES LTD.,Active,A ,5.00,INE089A01023,Pharmaceuticals,Equity
500125,EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,Active,B ,1.00,INE126A01031,Sugar,Equity
500126,MERCK,MERCK LTD.,Active,B ,10.00,INE199A01012,Pharmaceuticals,Equity
500128,ELECTROST,ELECTROSTEEL CASTINGS LTD.,Active,B ,1.00,INE086A01029,Construction &amp; Engineering,Equity
500132,EMPSC,EMPEE SUGARS &amp; CHEMICALS LTD.,Active,T ,10.00,INE928B01012,Sugar,Equity
500133,ESABINDIA,ESAB INDIA LTD.,Active,T ,10.00,INE284A01012,Other Industrial Goods,Equity
500134,ESSAROIL,ESSAR OIL LTD.,Active,A ,10.00,INE011A01019,Integrated Oil &amp; Gas,Equity
500135,ESSELPRO,ESSEL PROPACK LTD.,Active,B ,2.00,INE255A01020,Containers &amp; Packaging,Equity
500136,ESTERIND,ESTER INDUSTRIES LTD.,Active,T ,5.00,INE778B01029,Commodity Chemicals,Equity
500139,FEDDRLOY,FEDDERS LLOYD CORPORATION LTD.,Active,B ,10.00,INE249C01011,Other Elect.Equip./ Prod.,Equity
500141,FERROALL,FERRO ALLOYS CORPORATION LTD.,Active,B ,1.00,INE912A01026,Iron &amp; Steel/Interm.Products,Equity
500142,FGP,FGP LTD.,Active,T ,10.00,INE512A01016,Finance (including NBFCs),Equity
500143,PHCAP,PH CAPITAL LTD.,Active,T ,10.00,INE160F01013,Comm.Trading  &amp; Distribution,Equity
500144,FINCABLES,FINOLEX CABLES LTD.,Active,B ,2.00,INE235A01022,Other Elect.Equip./ Prod.,Equity
500145,FIRSTLEASE,FIRST LEASING CO.OF INDIA LTD.,Active,Z ,10.00,INE492B01019,Finance (including NBFCs),Equity
500147,CMIFPE,CMI FPE LTD.-$,Active,B ,10.00,INE515A01019,Industrial Machinery,Equity
500148,UFLEX,UFLEX LTD.,Active,B ,10.00,INE516A01017,Containers &amp; Packaging,Equity
500150,FOSECO,FOSECO INDIA LTD.,Active,B ,10.00,INE519A01011,Commodity Chemicals,Equity
500151,GOLDENTOB,GOLDEN TOBACCO LTD.,Active,B ,10.00,INE973A01010,Cigarettes-Tobacco Products,Equity
500153,GANESHBE,GANESH BENZOPLAST LTD.,Active,B ,1.00,INE388A01029,Commodity Chemicals,Equity
500155,GARDENSILK,GARDEN SILK MILLS LTD.,Active,B ,10.00,INE526A01016,Textiles,Equity
500159,METROGLOBL,Metroglobal Limited,Active,B ,10.00,INE085D01033,Paper &amp; Paper Products,Equity
500160,GTL,GTL LTD.,Active,B ,10.00,INE043A01012,Other Telecom Services,Equity
500162,PARRYSUGR,PARRYS SUGAR INDUSTRIES LTD.,Active,T ,10.00,INE353B01021,Sugar,Equity
500163,GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,Active,B ,10.00,INE260B01010,Cigarettes-Tobacco Products,Equity
500164,GODREJIND,GODREJ INDUSTRIES LTD.,Active,A ,1.00,INE233A01035,Commodity Chemicals,Equity
500165,KANSANERO,KANSAI NEROLAC PAINTS LTD.,Active,B ,10.00,INE531A01016,Furniture-Furnishing-Paints,Equity
500166,GOODRIC,GOODRICKE GROUP LTD.,Active,B ,10.00,INE300A01016,Tea &amp; Coffee,Equity
500168,GOODYR,GOODYEAR INDIA LTD.,Active,B ,10.00,INE533A01012,Auto Tyres &amp; Rubber Products,Equity
500170,GTNINDS,GTN INDUSTRIES LTD.,Active,T ,10.00,INE537A01013,Textiles,Equity
500171,GHCL,GHCL LTD.,Active,B ,10.00,INE539A01019,Commodity Chemicals,Equity
500173,GUJFLUORO,GUJARAT FLUOROCHEMICALS LTD.,Active,B ,1.00,INE538A01037,Industrial Gases,Equity
500174,GLFL,GUJARAT LEASE FINANCING LTD.,Active,T ,10.00,INE540A01017,Finance (including NBFCs),Equity
500179,HCLINFO,HCL INFOSYSTEMS LTD.,Active,B ,2.00,INE236A01020,Computer Hardware,Equity
500180,HDFCBANK,HDFC BANK LTD.,Active,A ,2.00,INE040A01026,Banks,Equity
500182,HEROMOTOCO,HERO MOTOCORP LTD.,Active,A ,2.00,INE158A01026,2/3 Wheelers,Equity
500183,HFCL,HIMACHAL FUTURISTIC COMMUNICATIONS LTD.,Active,B ,1.00,INE548A01028,Telecom Cables,Equity
500184,HIMCI,HIMADRI CHEMICALS &amp; INDUSTRIES LTD.,Active,B ,1.00,INE019C01026,Commodity Chemicals,Equity
500185,HCC,HINDUSTAN CONSTRUCTION CO.LTD.,Active,B ,1.00,INE549A01026,Construction &amp; Engineering,Equity
500186,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,Active,B ,10.00,INE345A01011,Exploration &amp; Production,Equity
500187,HSIL,HSIL LTD.,Active,T ,2.00,INE415A01038,Containers &amp; Packaging,Equity
500188,HINDZINC,HINDUSTAN ZINC LTD.,Active,A ,2.00,INE267A01025,Zinc,Equity
500189,HINDUJAV,HINDUJA VENTURES LTD.,Active,B ,10.00,INE353A01023,Broadcasting &amp; Cable TV,Equity
500191,HMT,HMT LTD.,Active,B ,10.00,INE262A01018,Commercial Vehicles,Equity
500192,PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,Active,T ,10.00,INE962B01011,Textiles,Equity
500193,HOTELEELA,HOTEL LEELAVENTURE LTD.,Active,B ,2.00,INE102A01024,Hotels,Equity
500199,IGPETRO,I G PETROCHEMICALS LTD.,Active,T ,10.00,INE204A01010,Commodity Chemicals,Equity
500201,INDIAGLYCOL,INDIA GLYCOLS LTD.,Active,B ,10.00,INE560A01015,Commodity Chemicals,Equity
500202,INDLEASE,INDIA LEASE DEVELOPMENT LTD.,Active,T ,10.00,INE333C01013,Finance (including NBFCs),Equity
500206,MARGOFIN,Margo Finance Limited,Active,T ,10.00,INE680B01019,Finance (including NBFCs),Equity
500207,INDORAMASYN,INDO RAMA SYNTHETICS (INDIA) LTD.,Active,B ,10.00,INE156A01020,Textiles,Equity
500209,INFY,INFOSYS LTD.,Active,A ,5.00,INE009A01021,IT Consulting &amp; Software,Equity
500210,INGERSOL,INGERSOLL-RAND (INDIA) LTD.,Active,B ,10.00,INE177A01018,Industrial Machinery,Equity
500211,INSILCO,INSILCO LTD.,Active,T ,10.00,INE901A01011,Other Industrial Goods,Equity
500212,IFSL,INTEGRATED FINANCIAL SERVICES LTD.,Active,T ,10.00,INE898B01017,Finance (including NBFCs),Equity
500213,ITHL,INTERNATIONAL TRAVEL HOUSE LTD.-$,Active,B ,10.00,INE262B01016,Travel Support Services,Equity
500214,IONEX,ION EXCHANGE (INDIA) LTD.-$,Active,T ,10.00,INE570A01014,Industrial Machinery,Equity
500215,AGROTECHFO,AGRO TECH FOODS LTD.,Active,B ,10.00,INE209A01019,Other Agricultural Products,Equity
500219,JAINIRRIG,JAIN IRRIGATION SYSTEMS LTD.,Active,A ,2.00,INE175A01038,Plastic Products,Equity
500220,JASCH,JASCH INDUSTRIES LTD.,Active,B ,10.00,INE711C01010,Textiles,Equity
500222,JCTELE,JCT ELECTRONICS LTD.,Active,T ,1.00,INE264B01020,Consumer Electronics,Equity
500223,JCTLTD,JCT LTD.,Active,T ,2.50,INE945A01026,Textiles,Equity
500227,JINDPOLYFM,JINDAL POLY FILMS LTD.,Active,B ,10.00,INE197D01010,Commodity Chemicals,Equity
500228,JSWSL,JSW STEEL LTD.,Active,A ,10.00,INE019A01020,Iron &amp; Steel/Interm.Products,Equity
500231,UMANGDAIR,UMANG DAIRIES LTD.,Active,B ,5.00,INE864B01027,Packaged Foods,Equity
500233,KAJARIAC,KAJARIA CERAMICS LTD.,Active,B ,2.00,INE217B01028,Furniture-Furnishing-Paints,Equity
500234,KAKCEM,KAKATIYA CEMENT SUGAR &amp; INDUSTRIES LTD.,Active,B ,10.00,INE437B01014,Cement &amp; Cement Products,Equity
500235,KALYANIST,KALYANI STEELS LTD.,Active,B ,5.00,INE907A01026,Iron &amp; Steel/Interm.Products,Equity
500236,KANELIND,Kanel Industries Limited,Active,T ,10.00,INE252C01015,Comm.Trading  &amp; Distribution,Equity
500238,WHIRLPOOL,WHIRLPOOL OF INDIA LTD.,Active,B ,10.00,INE716A01013,Consumer Electronics,Equity
500239,KGDENIM,KG DENIM LTD.,Active,B ,10.00,INE104A01012,Textiles,Equity
500240,KINETICE,KINETIC ENGINEERING LTD.,Active,B ,10.00,INE266B01017,2/3 Wheelers,Equity
500241,KIRLBROS,KIRLOSKAR BROTHERS LTD.-$,Active,B ,2.00,INE732A01036,Industrial Machinery,Equity
500243,KIRLIND,Kirloskar Industries Ltd,Active,B ,10.00,INE250A01039,Industrial Machinery,Equity
500245,KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD.,Active,T ,5.00,INE884B01025,Iron &amp; Steel/Interm.Products,Equity
500246,ENVAIREL,ENVAIR ELECTRODYNE LTD.,Active,B ,10.00,INE601C01013,Industrial Machinery,Equity
500247,KOTAKBANK,KOTAK MAHINDRA BANK LTD.,Active,A ,5.00,INE237A01028,Banks,Equity
500248,MAVIIND,MAVI INDUSTRIES LTD.,Active,T ,10.00,INE073A01019,Plastic Products,Equity
500249,KSBPUMPS,KSB PUMPS LTD.,Active,B ,10.00,INE999A01015,Industrial Machinery,Equity
500250,LGBROS,L.G.BALAKRISHNAN &amp; BROS.LTD.,Active,B ,10.00,INE337A01034,Auto Parts &amp; Equipment,Equity
500251,TRENT,TRENT LTD.,Active,B ,10.00,INE849A01012,Department Stores,Equity
500252,LMW,LAKSHMI MACHINE WORKS LTD.,Active,B ,10.00,INE269B01029,Industrial Machinery,Equity
500253,LICHSGFIN,LIC HOUSING FINANCE LTD.,Active,A ,2.00,INE115A01026,Housing Finance ,Equity
500254,UTTAMVALUE,UTTAM VALUE STEELS LTD.,Active,B ,10.00,INE292A01015,Iron &amp; Steel/Interm.Products,Equity
500255,LML,LML LTD.,Active,B ,10.00,INE862A01015,2/3 Wheelers,Equity
500256,LOKHSG,LOK HOUSING &amp; CONSTRUCTIONS LTD.-$,Active,B ,10.00,INE367C01011,Realty,Equity
500257,LUPIN,LUPIN LTD.,Active,A ,2.00,INE326A01037,Pharmaceuticals,Equity
500259,LYKALAB,LYKA LABS LTD.,Active,B ,10.00,INE933A01014,Pharmaceuticals,Equity
500260,RAMCOCEM,The Ramco Cements Limited,Active,A ,1.00,INE331A01037,Cement &amp; Cement Products,Equity
500264,MAFATIND,MAFATLAL INDUSTRIES LTD.-$,Active,B ,10.00,INE270B01027,Textiles,Equity
500265,MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.,Active,B ,5.00,INE271B01025,Construction &amp; Engineering,Equity
500266,MAHSCOOTER,MAHARASHTRA SCOOTERS LTD.,Active,B ,10.00,INE288A01013,2/3 Wheelers,Equity
500267,MAJESAUT,MAJESTIC AUTO LTD.-$,Active,T ,10.00,INE201B01022,2/3 Wheelers,Equity
500268,MANALIPETC,MANALI PETROCHEMICAL LTD.,Active,B ,5.00,INE201A01024,Petrochemicals,Equity
500271,MAX,MAX INDIA LTD.,Active,A ,2.00,INE180A01020,Plastic Products,Equity
500277,MIDINDIA,MID INDIA INDUSTRIES LTD.,Active,T ,10.00,INE401C01018,Textiles,Equity
500279,MIRC,MIRC ELECTRONICS LTD.,Active,B ,1.00,INE831A01028,Consumer Electronics,Equity
500280,CENTENKA,CENTURY ENKA LTD.,Active,B ,10.00,INE485A01015,Textiles,Equity
500284,LORDSCHLO,LORDS CHLORO ALKALI LTD.,Active,T ,10.00,INE846D01012,Commodity Chemicals,Equity
500285,SPICEJET,SPICEJET LTD.,Active,B ,10.00,INE285B01017,Airlines,Equity
500288,MOREPENLAB,MOREPEN LABORATORIES LTD.,Active,B ,2.00,INE083A01026,Pharmaceuticals,Equity
500290,MRF,MRF LTD.,Active,A ,10.00,INE883A01011,Auto Tyres &amp; Rubber Products,Equity
500292,HEIDELCEM,HEIDELBERGCEMENT INDIA LTD.,Active,B ,10.00,INE578A01017,Cement &amp; Cement Products,Equity
500294,NCC,NCC Limited,Active,B ,2.00,INE868B01028,Construction &amp; Engineering,Equity
500295,SSLT,Sesa Sterlite Limited,Active,A ,1.00,INE205A01025,Iron &amp; Steel/Interm.Products,Equity
500296,NAHARSPG,NAHAR SPINNING MILLS LTD.,Active,T ,5.00,INE290A01027,Textiles,Equity
500298,NATPEROX,NATIONAL PEROXIDE LTD.,Active,B ,10.00,INE585A01020,Commodity Chemicals,Equity
500300,GRASIM,GRASIM INDUSTRIES LTD.,Active,A ,10.00,INE047A01013,Textiles,Equity
500301,NEPIN,NEPC INDIA LTD.,Active,T ,10.00,INE588A01016,Heavy Electrical Equipment,Equity
500302,PEL,PIRAMAL ENTERPRISES LTD.,Active,A ,2.00,INE140A01024,Pharmaceuticals,Equity
500303,ABIRLANUV,ADITYA BIRLA NUVO LTD.,Active,A ,10.00,INE069A01017,Diversified,Equity
500304,NIIT,NIIT LTD.,Active,T ,2.00,INE161A01038,IT Training Services,Equity
500306,JAYKAY,JAYKAY ENTERPRISES LTD.,Active,B ,1.00,INE903A01025,Finance (including NBFCs),Equity
500307,NIRLON,NIRLON LTD.,Active,B ,10.00,INE910A01012,Misc.Commercial Services,Equity
500310,NOVOPAN,NOVOPAN INDUSTRIES LTD.,Active,B ,10.00,INE460B01016,Forest Products,Equity
500312,ONGC,OIL AND NATURAL GAS CORPORATION LTD.,Active,A ,5.00,INE213A01029,Exploration &amp; Production,Equity
500313,OILCOUNT,OIL COUNTRY TUBULAR LTD.,Active,B ,10.00,INE591A01010,Oil Equipment &amp; Services,Equity
500314,ORIENTHOT,ORIENTAL HOTELS LTD.,Active,B ,1.00,INE750A01020,Hotels,Equity
500315,OBC,ORIENTAL BANK OF COMMERCE,Active,A ,10.00,INE141A01014,Banks,Equity
500317,OSWALAG,OSWAL AGRO MILLS LTD.,Active,B ,10.00,INE142A01012,Investment Companies,Equity
500318,OSSWM,OSWAL SPINNING &amp; WEAVING MILLS LTD.,Active,T ,1.00,INE716C01027,Textiles,Equity
500319,INDSUCR,INDIAN SUCROSE LTD.,Active,T ,10.00,INE557C01017,Sugar,Equity
500322,PANCM,PANYAM CEMENTS &amp; MINERAL INDUSTRIES LTD.,Active,T ,10.00,INE167E01029,Cement &amp; Cement Products,Equity
500325,RIL,RELIANCE INDUSTRIES LTD.,Active,A ,10.00,INE002A01018,Integrated Oil &amp; Gas,Equity
500327,PEACOCKI,PEACOCK INDUSTRIES LTD.,Active,T ,4.00,INE600A01027,Plastic Products,Equity
500329,PENTAGRAPH,PENTAMEDIA GRAPHICS LTD.,Active,B ,1.00,INE202A01022,Movies &amp; Entertainment,Equity
500330,RAYMOND,RAYMOND LTD.,Active,B ,10.00,INE301A01014,Textiles,Equity
500331,PIDILITIND,PIDILITE INDUSTRIES LTD.,Active,A ,1.00,INE318A01026,Specialty Chemicals,Equity
500333,PIXTRANS,PIX TRANSMISSIONS LTD.,Active,B ,10.00,INE751B01018,Auto Tyres &amp; Rubber Products,Equity
500335,BIRLACORP,BIRLA CORPORATION LTD.,Active,B ,10.00,INE340A01012,Cement &amp; Cement Products,Equity
500336,SURYAROSNI,SURYA ROSHNI LTD.,Active,B ,10.00,INE335A01012,Iron &amp; Steel Products,Equity
500337,PRIMESEC,PRIME SECURITIES LTD.,Active,T ,5.00,INE032B01021,Other Financial Services,Equity
500338,PRISMCEM,PRISM CEMENT LTD.,Active,T ,10.00,INE010A01011,Cement &amp; Cement Products,Equity
500339,RAIN,Rain Industries Limited,Active,B ,2.00,INE855B01025,Petrochemicals,Equity
500343,PDUMJEPU,PUDUMJEE PULP &amp; PAPER MILLS LTD.,Active,B ,2.00,INE606A01024,Paper &amp; Paper Products,Equity
500346,PUNJCOMMU,PUNJAB COMMUNICATIONS LTD.-$,Active,T ,10.00,INE609A01010,Telecom Equipment,Equity
500350,RSWMLTD,RSWM LTD.,Active,B ,10.00,INE611A01016,Textiles,Equity
500354,RSCL,RAJSHREE SUGARS &amp; CHEMICALS LTD.,Active,B ,10.00,INE562B01019,Sugar,Equity
500355,RALLIS,RALLIS INDIA LTD.,Active,B ,1.00,INE613A01020,Agrochemicals,Equity
500356,RAMANEWS,SHREE RAMA NEWSPRINT LTD.,Active,B ,10.00,INE278B01020,Paper &amp; Paper Products,Equity
500357,RAMAPPR-B,RAMA PAPER MILLS LTD.,Active,T ,10.00,INE425E01013,Paper &amp; Paper Products,Equity
500358,RAMAPETR,RAMA PETROCHEMICALS LTD.,Active,B ,10.00,INE783A01013,Finance (including NBFCs),Equity
500359,RANBAXY,RANBAXY LABORATORIES LTD.,Active,A ,5.00,INE015A01028,Pharmaceuticals,Equity
500360,RAPICUT,RAPICUT CARBIDES LTD.,Active,B ,10.00,INE350D01015,Other Non-Ferrous Metals,Equity
500365,RMGALLOY,RMG Alloy Steel Limited,Active,B ,6.00,INE731F01037,Iron &amp; Steel/Interm.Products,Equity
500366,ROLTA,ROLTA INDIA LTD.,Active,B ,10.00,INE293A01013,Internet Software &amp; Services,Equity
500367,RUBFILA,RUBFILA INTERNATIONAL LTD.,Active,B ,5.00,INE642C01025,Auto Tyres &amp; Rubber Products,Equity
500368,RUCHISOYA,RUCHI SOYA INDUSTRIES LTD.,Active,B ,2.00,INE619A01027,Edible Oils,Equity
500370,SALORA,SALORA INTERNATIONAL LTD.,Active,T ,10.00,INE924A01013,Comm.Trading  &amp; Distribution,Equity
500371,SAMTELIN,SAMTEL INDIA LTD.-$,Active,T ,10.00,INE538C01017,Consumer Electronics,Equity
500372,SAMTEL,SAMTEL COLOR LTD.,Active,T ,10.00,INE381A01016,Consumer Electronics,Equity
500378,JINDAL,JINDAL SAW LTD.,Active,B ,2.00,INE324A01024,Construction &amp; Engineering,Equity
500380,JKLAKSHMI,JK LAKSHMI CEMENT LTD.,Active,B ,5.00,INE786A01032,Cement &amp; Cement Products,Equity
500387,SHREECEM,SHREE CEMENT LTD.,Active,A ,10.00,INE070A01015,Cement &amp; Cement Products,Equity
500388,SKPMIL,SHREE KRISHNA PAPER MILLS &amp; INDUSTRIES LTD.,Active,T ,10.00,INE970C01012,Paper &amp; Paper Products,Equity
500390,RELINFRA,RELIANCE INFRASTRUCTURE LTD.,Active,A ,10.00,INE036A01016,Electric Utilities,Equity
500399,STEELCO,STEELCO GUJARAT LTD.,Active,B ,10.00,INE629B01024,Iron &amp; Steel/Interm.Products,Equity
500400,TATAPOWER,TATA POWER CO.LTD.,Active,A ,1.00,INE245A01021,Electric Utilities,Equity
500402,SPMLINFRA,SPML Infra Limited,Active,T ,2.00,INE937A01023,Construction &amp; Engineering,Equity
500403,SUNDRMFAST,SUNDRAM FASTENERS LTD.,Active,B ,1.00,INE387A01021,Auto Parts &amp; Equipment,Equity
500404,SUNFLAGIRN,SUNFLAG IRON &amp; STEEL CO.LTD.,Active,B ,10.00,INE947A01014,Iron &amp; Steel/Interm.Products,Equity
500405,SUPREMEPET,SUPREME PETROCHEM LTD.,Active,B ,10.00,INE663A01017,Petrochemicals,Equity
500407,SWARAJENG,SWARAJ ENGINES LTD.,Active,B ,10.00,INE277A01016,Auto Parts &amp; Equipment,Equity
500408,TATAELXSI,TATA ELXSI LTD.,Active,B ,10.00,INE670A01012,IT Software Products,Equity
500410,ACC,ACC LTD.,Active,A ,10.00,INE012A01025,Cement &amp; Cement Products,Equity
500411,THERMAX,THERMAX LTD.,Active,A ,2.00,INE152A01029,Heavy Electrical Equipment,Equity
500412,THIRUMALAI,THIRUMALAI CHEMICALS LTD.,Active,B ,10.00,INE338A01016,Commodity Chemicals,Equity
500413,THOMASCOOK,THOMAS COOK (INDIA) LTD.,Active,B ,1.00,INE332A01027,Travel Support Services,Equity
